City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
161,Esperance,AU,75.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
163,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
167,Port Keats,AU,76.08,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
168,Luderitz,Namimbia,68.34,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
169,San Vicente,AR,70.0,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
170,Rawson,AR,72.55,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
173,Piacabucu,BR,80.47,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
174,Abu Zabad,SD,68.32,clear sky,12.35,29.25,حامد محمد نور
175,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
176,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
177,Bontang,ID,75.56,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
179,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
183,Inverell,AU,68.11,light rain,-29.7833,151.1167,Sapphire City Motor Inn
186,Riyadh,SA,73.54,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
188,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
189,Deshnok,IN,67.95,clear sky,27.7986,73.3447,Royal Karni palace
190,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
192,Morondava,MG,79.72,overcast clouds,-20.2833,44.2833,La Case Bambou
193,Namatanai,PG,82.06,light rain,-3.6667,152.4333,Seagulls Inn Namatani
196,Sinnamary,GF,77.11,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
197,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
199,Batticaloa,LK,78.87,few clouds,7.7102,81.6924,Grand Star Guest House
203,Castro,BR,72.32,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
204,Atar,MR,79.05,overcast clouds,20.5169,-13.0499,Oumou Elghoura
205,Kirakira,SB,83.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
206,Marzuq,YE,65.8,clear sky,14.4,46.4667,
207,Narasannapeta,IN,69.51,clear sky,18.4167,84.05,AVK events and catering
211,Bambanglipuro,ID,75.72,overcast clouds,-7.95,110.2833,Puri Brata
212,Inhambane,MZ,74.71,clear sky,-23.865,35.3833,Oceano
216,Codrington,AU,66.15,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
221,Kavaratti,IN,80.24,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
222,Faanui,PF,81.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
226,Bombay,IN,76.98,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
228,Fomboni,KM,82.67,overcast clouds,-12.28,43.7425,Auberge les abou
236,Ampanihy,MG,71.42,overcast clouds,-24.7,44.75,Angora Hotel
238,Bredasdorp,ZA,67.32,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
241,Jacqueville,CI,80.51,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
243,Siocon,PH,76.78,overcast clouds,7.7061,122.1353,ABS Hotel
249,Byron Bay,AU,76.89,light rain,-28.65,153.6167,Backpackers Inn
251,Honiara,SB,83.19,overcast clouds,-9.4333,159.95,Heritage Park Hotel
253,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
255,Emerald,AU,77.14,clear sky,-23.5333,148.1667,The Irish Village
256,Bosaso,SO,75.24,scattered clouds,11.2842,49.1816,Red Sea Hotel
258,Sao Filipe,CV,70.18,few clouds,14.8961,-24.4956,Hotel Xaguate
262,Kupang,ID,77.9,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
263,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
264,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
266,Kharhial,IN,70.27,clear sky,20.2833,82.7667,Jeevan Chhaya
268,Chuy,UY,72.46,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
269,Charters Towers,AU,83.68,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
270,Kavieng,PG,82.45,light rain,-2.5744,150.7967,Nusa Island Retreat
271,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
274,Poum,NC,78.62,overcast clouds,-20.2333,164.0167,
277,Kikwit,CD,70.83,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
279,Port Moresby,PG,74.62,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
281,Diamantino,BR,77.94,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
285,Isangel,VU,78.91,light rain,-19.55,169.2667,Tanna Lodge
291,Micheweni,TZ,81.21,overcast clouds,-4.9667,39.8333,
293,Santa Isabel Do Rio Negro,BR,77.92,moderate rain,-0.4139,-65.0192,Hotel GSA
296,Bengkulu,ID,74.52,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
297,Axim,GH,79.83,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
298,Richards Bay,ZA,69.73,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
