City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Ouadda,8.0777,22.4007,73.6,13,81,6.58,CF,2/13/2022 23:26
132,Srednekolymsk,67.45,153.6833,-32.66,99,24,6.49,RU,2/13/2022 23:22
133,Ovsyanka,55.9575,92.5519,-16.78,100,82,2.24,RU,2/13/2022 23:27
134,Longyearbyen,78.2186,15.6401,15.64,92,100,6.91,SJ,2/13/2022 23:27
135,Madisonville,37.3281,-87.4989,36.23,43,9,4,US,2/13/2022 23:23
136,Caravelas,-17.7125,-39.2481,76.19,85,82,5.95,BR,2/13/2022 23:27
137,San Carlos De Bariloche,-41.1456,-71.3082,76.75,27,5,25.32,AR,2/13/2022 23:26
138,Kailua,21.4022,-157.7394,81.07,62,75,10.36,US,2/13/2022 23:27
139,Vuktyl,63.8567,57.3094,4.26,98,100,3.74,RU,2/13/2022 23:27
140,Orocue,4.7912,-71.3354,89.42,34,20,8.37,CO,2/13/2022 23:27
141,Casablanca,33.5928,-7.6192,60.33,82,42,5.01,MA,2/13/2022 23:27
142,Sterling,39.0062,-77.4286,33.31,74,40,6.91,US,2/13/2022 23:23
143,Kavaratti,10.5669,72.642,80.13,72,33,5.28,IN,2/13/2022 23:23
144,Norman Wells,65.282,-126.8329,-7.56,64,100,5.75,CA,2/13/2022 23:27
145,Provideniya,64.3833,-173.3,-3.89,71,0,8.95,RU,2/13/2022 23:27
146,Dhidhdhoo,6.8833,73.1,78.93,78,100,4.14,MV,2/13/2022 23:27
147,Tilichiki,60.4667,166.1,-16.26,93,7,9.91,RU,2/13/2022 23:27
148,Port Moresby,-9.4431,147.1797,81.82,74,40,3.44,PG,2/13/2022 23:27
149,Mount Gambier,-37.8333,140.7667,64.31,72,100,12.66,AU,2/13/2022 23:18
150,Ulaanbaatar,47.9077,106.8832,-16.47,69,100,0,MN,2/13/2022 23:27
151,Male,4.1748,73.5089,82.35,78,75,12.66,MV,2/13/2022 23:27
152,Alugan,12.2188,125.4808,78.84,81,100,10.22,PH,2/13/2022 23:27
153,Poum,-20.2333,164.0167,82.47,75,97,10.58,NC,2/13/2022 23:27
154,Gazalkent,41.5581,69.7708,37.76,78,100,8.12,UZ,2/13/2022 23:27
155,Kavieng,-2.5744,150.7967,81.99,77,97,6.24,PG,2/13/2022 23:27
156,Valparaiso,-33.0393,-71.6273,68.47,74,20,9.22,CL,2/13/2022 23:27
157,Lebu,-37.6167,-73.65,62.22,81,75,6.62,CL,2/13/2022 23:23
