City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
241,Jacqueville,CI,5.2052,-4.4146,80.51,87,89,13.33,overcast clouds
242,Kalmar,SE,56.6616,16.3616,37.33,93,100,4.61,overcast clouds
243,Siocon,PH,7.7061,122.1353,76.78,84,90,8.3,overcast clouds
244,Upernavik,GL,72.7868,-56.1549,-10.01,82,92,11.43,overcast clouds
245,Meadow Lake,US,34.8014,-106.5436,54.37,21,100,5.57,overcast clouds
246,Dandong,CN,40.1292,124.3947,29.62,95,97,2.42,overcast clouds
247,Taksimo,RU,56.3444,114.8794,-3.66,90,70,3.69,broken clouds
248,Gornopravdinsk,RU,60.05,69.9,12.58,96,38,6.6,scattered clouds
249,Byron Bay,AU,-28.65,153.6167,76.89,90,100,13.6,light rain
250,Dikson,RU,73.5069,80.5464,6.53,92,100,8.61,overcast clouds
251,Honiara,SB,-9.4333,159.95,83.19,77,89,4.12,overcast clouds
252,Torbay,CA,47.6666,-52.7314,22.87,53,75,16.11,broken clouds
253,Saint-Philippe,RE,-21.3585,55.7679,78.35,89,99,9.24,light rain
254,Tigil,RU,57.8,158.6667,0.07,96,88,4.63,overcast clouds
255,Emerald,AU,-23.5333,148.1667,77.14,73,0,5.75,clear sky
256,Bosaso,SO,11.2842,49.1816,75.24,81,44,2.59,scattered clouds
257,Baruun-Urt,MN,46.6806,113.2792,0.3,89,5,6.98,clear sky
258,Sao Filipe,CV,14.8961,-24.4956,70.18,74,11,13.22,few clouds
259,Simao,CN,22.7886,100.9748,49.12,79,0,1.36,clear sky
260,Pacifica,US,37.6138,-122.4869,63.61,38,0,9.22,clear sky
261,Cherskiy,RU,68.75,161.3,-5.8,99,100,5.66,snow
262,Kupang,ID,-10.1667,123.5833,77.9,86,100,9.6,overcast clouds
263,Salalah,OM,17.0151,54.0924,73.49,68,20,3.44,few clouds
264,Nouadhibou,MR,20.931,-17.0347,66.18,82,1,17.27,clear sky
265,Sinegorye,RU,62.0788,150.477,-10.7,100,100,4.09,overcast clouds
266,Kharhial,IN,20.2833,82.7667,70.27,35,0,1.59,clear sky
267,Dauriya,RU,49.9333,116.8667,-1.75,97,40,6.35,scattered clouds
268,Chuy,UY,-33.6971,-53.4616,72.46,76,1,8.93,clear sky
269,Charters Towers,AU,-20.1,146.2667,83.68,58,19,6.29,few clouds
270,Kavieng,PG,-2.5744,150.7967,82.45,76,100,6.42,light rain
271,Santa Cruz,BO,-17.8,-63.1667,80.65,78,40,13.8,scattered clouds
272,Ayagoz,KZ,47.9714,80.4392,4.01,87,56,1.83,broken clouds
273,Corinto,GR,37.9407,22.9573,51.69,70,28,3.91,scattered clouds
274,Poum,NC,-20.2333,164.0167,78.62,82,100,20.29,overcast clouds
275,Ober-Ramstadt,DE,49.8336,8.7519,37.63,92,44,5.3,scattered clouds
